job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
45,1,274404000,5280,resnet18,128,132000,25000,779,711,110,0,0
46,1,275116000,1740,resnet18,128,44000,409000,779,711,110,0,1
242,2,308063000,5020,shufflenet_v2_x1_0,128,1111000,23000,850,747,58,18,1
50,4,408218000,3000,dqn,128,449000,503000,505,440,8,0.4,0
160,1,707825000,2400,a2c,64,43000,195000,517,514,14,0,0
161,1,708079000,4800,resnet18,128,120000,172000,779,711,110,0,0
254,2,802767000,3000,bert,4,51000,196000,195,0.5,163,18,1
256,1,945622000,4000,vgg16,16,23000,101000,107,117,68,0,0
257,1,945711000,1500,resnet18,128,43000,19000,779,711,110,0,0
258,1,945743000,1200,shufflenet_v2_x1_0,128,35000,32000,798,706,59,0,0
255,2,955756000,5000,dqn,128,371000,336000,495,441,8,0.6,1
259,1,955766000,1200,a2c,64,20000,23000,517,514,14,0,1
260,2,962787000,2000,vgg19,16,16000,284000,205,115,83,41,1
324,2,1025098000,3500,shufflenet_v2_x1_0,128,19000,13000,850,747,58,18,0
