job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
1,1,274404000,176,resnet18,128,132000,25000,779,711,110,0,0
2,1,275116000,58,resnet18,128,44000,409000,779,711,110,0,1
3,1,275456000,108,dqn,128,53000,149000,490,446,8,0,1
4,1,276306000,343,resnet18,128,257000,41000,779,711,110,0,0
5,1,277329000,12568,vgg16,16,1659000,222000,107,117,68,0,0
6,4,278218000,875,dqn,128,449000,503000,505,440,8,0.4,0
7,1,278883000,1240,a2c,64,660000,254000,517,514,14,0,0
8,2,277629000,6922,vgg16,16,1343000,390000,191,114,72,40,1
9,2,277529000,2590,dqn,128,1308000,146000,495,441,8,0.6,0
10,2,279329000,5245,vgg19,16,1091000,178000,205,115,83,41,1
