job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
3,8,2020,2836,vgg19,16,165835000,15000,226,82.0,88,60.0,0
33,8,6180,294,a2c,64,162000,16000,555,502.0,14,0.4,0
35,1,31876,3723,shufflenet_v2_x1_0,128,5794000,535000,798,706.0,59,0.0,0
47,1,81418,3080,dqn,128,53000,149000,490,446.0,8,0.0,1
48,1,81669,2343,resnet18,128,257000,41000,779,711.0,110,0.0,0
49,1,81972,2513,vgg16,16,1659000,222000,107,117.0,68,0.0,0
51,1,82431,4240,a2c,64,660000,254000,517,514.0,14,0.0,0
54,4,84103,1035,shufflenet_v2_x1_0,128,32000,21000,886,703.0,62,17.0,1
55,4,84261,807,vgg16,16,155000,100000,201,82.0,72,67.0,1
56,4,84365,1002,gpt2,4,459000,353000,433,0.6,413,20.0,0
79,4,158471,450,gpt2,4,21000,434000,433,0.6,413,20.0,0
81,32,158531,519,vgg19,16,50430000,34000,356,89.0,79,141.0,0
84,4,158703,599,bert,4,23000,20000,190,0.5,163,18.0,1
85,4,158830,111,vgg19,16,23000,430000,212,84.0,85,73.0,1
86,4,158895,337,resnet18,128,296000,68000,921,723.0,113,73.0,0
87,4,159150,699,shufflenet_v2_x1_0,128,89000,333000,886,703.0,62,17.0,1
102,4,164356,1408,dqn,128,36119000,1000,505,440.0,8,0.4,1
112,32,179716,435,bert,4,54887000,312000,260,0.5,166,133.0,1
114,8,179729,1551,gpt2,4,47906000,23000,514,0.7,414,216.0,1
122,8,182191,700,vgg19,16,138000,149000,226,82.0,88,60.0,1
160,1,209217,2820,a2c,64,43000,195000,517,514.0,14,0.0,0
161,1,209292,1560,resnet18,128,120000,172000,779,711.0,110,0.0,0
181,4,212522,1254,bert,4,291000,115000,190,0.5,163,18.0,0
242,2,265447,2175,shufflenet_v2_x1_0,128,1111000,23000,850,747.0,58,18.0,1
243,2,265517,2622,vgg19,16,1091000,178000,205,115.0,83,41.0,1
244,2,265522,1900,dqn,128,960000,20000,495,441.0,8,0.6,1
245,2,265528,1627,a2c,64,879000,19000,525,504.0,14,0.5,1
246,2,265534,2262,vgg16,16,439000,20000,191,114.0,72,40.0,1
253,2,272414,3134,vgg19,16,652000,4000,205,115.0,83,41.0,0
254,2,278660,2190,bert,4,51000,196000,195,0.5,163,18.0,1
256,1,279504,1740,vgg16,16,23000,101000,107,117.0,68,0.0,0
257,1,279530,570,resnet18,128,43000,19000,779,711.0,110,0.0,0
259,1,279547,3037,a2c,64,20000,23000,517,514.0,14,0.0,1
260,2,284578,2076,vgg19,16,16000,284000,205,115.0,83,41.0,1
261,4,284823,436,vgg19,16,49000,17000,212,84.0,85,73.0,1
262,4,285402,730,vgg16,16,25000,269000,201,82.0,72,67.0,0
265,1,329831,2088,a2c,64,47000,311000,517,514.0,14,0.0,0
276,2,374710,4220,bert,4,48960000,17000,195,0.5,163,18.0,0
281,4,385824,6690,shufflenet_v2_x1_0,128,306101000,417000,957,769.0,57,10.0,0
287,16,390426,2181,dqn,128,4391000,5000,525,438.0,8,1.2,1
288,8,390599,2872,resnet18,128,4595000,147000,1010,784.0,117,77.0,1
296,16,409705,2245,vgg19,16,85497000,5000,302,102.0,78,123.0,1
299,1,417295,3128,vgg16,16,149000,75000,107,117.0,68,0.0,0
300,1,417456,2437,shufflenet_v2_x1_0,128,340000,53000,798,706.0,59,0.0,0
302,1,418011,3122,resnet18,128,11695000,46000,779,711.0,110,0.0,0
306,1,441441,3193,gpt2,4,72493000,74000,426,0.6,410,0.0,0
310,1,444292,659,bert,4,35000,224000,178,0.5,160,0.0,0
311,1,448513,2945,vgg16,16,72243000,106000,107,117.0,68,0.0,0
313,8,449411,1988,dqn,128,1000000,145000,509,435.0,8,0.5,0
324,2,480342,2000,shufflenet_v2_x1_0,128,19000,13000,850,747.0,58,18.0,0
326,1,497092,1400,a2c,64,10644000,60000,517,514.0,14,0.0,0
328,8,498359,490,gpt2,4,23000,4000,437,0.6,419,49.0,0
356,1,564526,3520,dqn,128,8608000,9000,490,446.0,8,0.0,1
357,1,564529,2341,a2c,64,6228000,8000,517,514.0,14,0.0,1
358,1,564532,2447,dqn,128,10946000,10000,490,446.0,8,0.0,1
359,1,564541,441,dqn,128,10801000,18000,490,446.0,8,0.0,0
360,1,564543,3266,a2c,64,8690000,9000,517,514.0,14,0.0,0
362,1,564549,2712,resnet18,128,10158000,10000,779,711.0,110,0.0,1
363,1,564554,2936,resnet18,128,10996000,17000,779,711.0,110,0.0,1
374,1,593218,2547,resnet18,128,20508000,73000,779,711.0,110,0.0,0
377,8,600000,992,a2c,64,27291000,217000,555,502.0,14,0.4,0
